method,k,ari,silhouette,bic,aic
K-Means,5,0.144910353734918,0.2975118160247803,,
K-Means,6,0.1776456900741366,0.3066084086894989,,
K-Means,7,0.19966890577542123,0.3216243386268616,,
K-Means,8,0.19719330776249103,0.3339957892894745,,
K-Means,9,0.22084252792666245,0.32966211438179016,,
K-Means,10,0.23537237992625887,0.3319786489009857,,
K-Means,11,0.2271565098782873,0.328814834356308,,
K-Means,12,0.2578749621540467,0.32997503876686096,,
K-Means,13,0.24601827183389768,0.32354068756103516,,
K-Means,14,0.25210573512283563,0.3122243285179138,,
K-Means,15,0.23583385448329813,0.31167975068092346,,
K-Means,16,0.24257359735986236,0.3106297254562378,,
K-Means,17,0.2311275809706926,0.30403265357017517,,
K-Means,18,0.2311606065658309,0.306087464094162,,
K-Means,19,0.23885631721135672,0.30848050117492676,,
K-Means,20,0.24329018482158732,0.2968701422214508,,
GMM (full),5,0.14330763937390043,0.22825732827186584,-1105746.5850319127,-1107612.1749687195
GMM (full),6,0.15929187340747125,0.2321700006723404,-1126176.8959628164,-1128417.2695922852
GMM (full),7,0.1727663673650478,0.26375335454940796,-1141721.7845075505,-1144336.9418296814
GMM (full),8,0.24013231937921195,0.26865261793136597,-1155434.0853180622,-1158424.0263328552
GMM (full),9,0.24771594759665275,0.2426164746284485,-1170357.7636157568,-1173722.4883232117
GMM (full),10,0.24957340286186,0.2516377866268158,-1176970.7854956044,-1180710.2938957214
GMM (full),11,0.24432501229413459,0.257389098405838,-1180540.3089661808,-1184654.60105896
GMM (full),12,0.2642731306519975,0.26278549432754517,-1185183.0335323384,-1189672.1093177795
GMM (full),13,0.2639607509963362,0.2349325716495514,-1188251.6675833592,-1193115.5270614624
GMM (full),14,0.23627877727025934,0.21261616051197052,-1192485.5814233508,-1197724.2245941162
GMM (full),15,0.25354750102343987,0.24443773925304413,-1196245.3308384465,-1201858.7577018738
GMM (full),16,0.25455666346261474,0.23602980375289917,-1199229.9387053852,-1205218.1492614746
GMM (full),17,0.25701947482934573,0.2177818864583969,-1200754.3582178317,-1207117.3524665833
GMM (full),18,0.26613874729474046,0.2454976588487625,-1204443.3855946583,-1211181.1635360718
GMM (full),19,0.2611449962945086,0.23177914321422577,-1206400.7733611942,-1213513.3349952698
GMM (full),20,0.2560045829680113,0.229104146361351,-1209437.5474840838,-1216924.8928108215
GMM (tied),5,0.13834246759784383,0.29326507449150085,-984218.5090250366,-984884.7911453247
GMM (tied),6,0.18687720066135374,0.2918952703475952,-993515.7117637381,-994256.9506225586
GMM (tied),7,0.1555388885541512,0.2911932170391083,-1013424.0211155987,-1014240.2167129517
GMM (tied),8,0.19440098601154035,0.27511894702911377,-1021867.4244616,-1022758.5767974854
GMM (tied),9,0.212144657438055,0.2925204038619995,-1030829.9229003747,-1031796.0319747925
GMM (tied),10,0.21093719296169222,0.28857752680778503,-1040058.8543645096,-1041099.9201774597
GMM (tied),11,0.2027247056067641,0.27657079696655273,-1045242.275174195,-1046358.2977256775
GMM (tied),12,0.22898883249956017,0.28565388917922974,-1049582.04975509,-1050773.029045105
GMM (tied),13,0.2338297713779139,0.2772364616394043,-1054318.6146497058,-1055584.5506782532
GMM (tied),14,0.2430989480827044,0.25770995020866394,-1057007.2747133889,-1058348.1674804688
GMM (tied),15,0.25459808383053445,0.26762261986732483,-1059546.3214881928,-1060962.170993805
GMM (tied),16,0.2407783982530634,0.24109667539596558,-1065577.5898358724,-1067068.396080017
GMM (tied),17,0.25283364626897714,0.255342572927475,-1069206.993052174,-1070772.756034851
GMM (tied),18,0.2660087374478913,0.2700112760066986,-1072034.9965377932,-1073675.7162590027
GMM (tied),19,0.26432103322584505,0.27028965950012207,-1076451.7951207636,-1078167.4715805054
GMM (tied),20,0.2443009400309746,0.2542850077152252,-1081009.9210772384,-1082800.5542755127
GMM (diag),5,0.12586651360361706,0.17826531827449799,-599237.2573236547,-599936.8535499573
GMM (diag),6,0.1534284129561145,0.18230155110359192,-630494.700807847,-631335.8819847107
GMM (diag),7,0.25622937812415386,0.2445450723171234,-646458.2117587749,-647440.9778862
GMM (diag),8,0.2279444926972813,0.24933400750160217,-672466.7029076095,-673591.0539855957
GMM (diag),9,0.23066989028804244,0.25405532121658325,-679102.3154496477,-680368.2514781952
GMM (diag),10,0.22799809177995084,0.21182239055633545,-692867.4913595297,-694275.0123386383
GMM (diag),11,0.24417779957322203,0.23907221853733063,-701943.422682467,-703492.5286121368
GMM (diag),12,0.25091842701303646,0.25899767875671387,-711933.1971088131,-713623.8879890442
GMM (diag),13,0.23510680452751967,0.25330379605293274,-720020.8287930023,-721853.1046237946
GMM (diag),14,0.24160930412980336,0.26873037219047546,-725946.2450249972,-727920.1058063507
GMM (diag),15,0.2454986028270085,0.25680750608444214,-738093.0416185491,-740208.4873504639
GMM (diag),16,0.24544692616663905,0.2408052235841751,-747541.080563633,-749798.111246109
GMM (diag),17,0.24718785345345107,0.2408965826034546,-753510.2604331707,-755908.8760662079
GMM (diag),18,0.24852927215419524,0.23529596626758575,-756966.4155319716,-759506.6161155701
GMM (diag),19,0.24579530650540382,0.21813401579856873,-765439.342281087,-768121.1278152466
GMM (diag),20,0.23991683682816903,0.21665021777153015,-771225.3567396291,-774048.72722435
GMM (spherical),5,0.15318927811590322,0.21666909754276276,322542.6627295923,322134.56493091583
GMM (spherical),6,0.1624822061852762,0.2374349683523178,292750.511201301,292259.1281375885
GMM (spherical),7,0.18237345541932204,0.2876177132129669,272018.4537958963,271443.7854671478
GMM (spherical),8,0.20951408627021992,0.29019173979759216,253538.03554206484,252880.08194828033
GMM (spherical),9,0.2180773453795027,0.30631861090660095,242931.89188826235,242190.65302944183
GMM (spherical),10,0.2310635863354549,0.27014803886413574,224356.010553071,223531.48642921448
GMM (spherical),11,0.2329036106750221,0.2797551155090332,212325.49178816547,211417.68239927292
GMM (spherical),12,0.23929794823746292,0.2801063060760498,198957.84801753788,197966.7533636093
GMM (spherical),13,0.24207099576773392,0.2702082693576813,188562.19287243672,187487.81295347214
GMM (spherical),14,0.23578497126840858,0.2682979106903076,178497.46376655446,177339.79858255386
GMM (spherical),15,0.22980519191504103,0.2601114511489868,171589.4204245081,170348.4699754715
GMM (spherical),16,0.23619035947384134,0.2657129764556885,165025.16963111822,163700.9339170456
GMM (spherical),17,0.2355717380756792,0.2529478967189789,159100.96203679068,157693.44105768204
GMM (spherical),18,0.23724815572153746,0.25788381695747375,152350.46778989813,150859.66154575348
GMM (spherical),19,0.22033266916207686,0.2523203194141388,147143.76503308356,145569.6735239029
GMM (spherical),20,0.23180290267220613,0.263316810131073,141229.94400873283,139572.56723451614
